[00:00:03.508] (7f0477595840) INFO   Jio: started !
[00:00:03.508] (7f04762bd6c0) INFO   Jio: cooling down for 18.605 secondes
[00:00:03.515] (7f0477595840) INFO   Eraly: started !
[00:00:03.522] (7f0477595840) INFO   Nalgisk: started !
[00:00:03.529] (7f0477595840) INFO   Tieleja: started !
[00:00:03.536] (7f0477595840) INFO   Kvarask: started !
[00:00:03.537] (7f0474c916c0) INFO   Kvarask: cooling down for 3.901 secondes
[00:00:04.221] (7f0475eb56c0) INFO   Eraly: gathered: SkillInfoSchema { xp: 32, items: [DropSchema { code: "gold_ore", quantity: 1 }] }
[00:00:04.221] (7f0475eb56c0) INFO   Eraly: cooling down for 24.632 secondes
[00:00:04.241] (7f04758a96c0) INFO   Nalgisk: gathered: SkillInfoSchema { xp: 32, items: [DropSchema { code: "gold_ore", quantity: 1 }] }
[00:00:04.241] (7f04758a96c0) INFO   Nalgisk: cooling down for 24.624 secondes
[00:00:04.245] (7f047529d6c0) INFO   Tieleja: gathered: SkillInfoSchema { xp: 32, items: [DropSchema { code: "dead_wood", quantity: 1 }] }
[00:00:04.245] (7f047529d6c0) INFO   Tieleja: cooling down for 24.622 secondes
[00:00:08.173] (7f0474c916c0) INFO   Kvarask: gathered: SkillInfoSchema { xp: 24, items: [DropSchema { code: "coal", quantity: 1 }] }
[00:00:08.173] (7f0474c916c0) INFO   Kvarask: cooling down for 23.627 secondes
[00:00:22.720] (7f04762bd6c0) INFO   Jio fought and Win
[00:00:22.720] (7f04762bd6c0) INFO   Jio: cooling down for 31.756 secondes
[00:00:29.498] (7f047529d6c0) INFO   Tieleja: gathered: SkillInfoSchema { xp: 32, items: [DropSchema { code: "dead_wood", quantity: 1 }] }
[00:00:29.498] (7f047529d6c0) INFO   Tieleja: cooling down for 24.689 secondes
[00:00:29.504] (7f04758a96c0) INFO   Nalgisk: gathered: SkillInfoSchema { xp: 32, items: [DropSchema { code: "gold_ore", quantity: 1 }] }
[00:00:29.504] (7f04758a96c0) INFO   Nalgisk: cooling down for 24.684 secondes
[00:00:29.505] (7f0475eb56c0) INFO   Eraly: gathered: SkillInfoSchema { xp: 32, items: [DropSchema { code: "gold_ore", quantity: 1 }] }
[00:00:29.506] (7f0475eb56c0) INFO   Eraly: cooling down for 24.681 secondes
[00:00:32.438] (7f0474c916c0) INFO   Kvarask: gathered: SkillInfoSchema { xp: 24, items: [DropSchema { code: "coal", quantity: 1 }] }
